country,income_group,rule_of_law,fatalities
Afghanistan,Low Income,0.35,15.5
Albania,Upper Middle Income,0.52,15.1
Argentina,Upper Middle Income,0.52,13.6
Australia,High Income,0.80,5.4
Austria,High Income,0.82,5.4
Bangladesh,Low Income,0.42,13.6
Belarus,Upper Middle Income,0.53,13.7
Belgium,High Income,0.77,6.7
Belize,Upper Middle Income,0.49,24.4
Bolivia (Plurinational State of),Lower Middle Income,0.41,23.2
Bosnia and Herzegovina,Upper Middle Income,0.57,17.7
Botswana,Upper Middle Income,0.64,23.6
Brazil,Upper Middle Income,0.54,23.4
Bulgaria,Upper Middle Income,0.55,8.3
Burkina Faso,Low Income,0.47,30
Cambodia,Low Income,0.37,17.4
Cameroon,Lower Middle Income,0.40,27.6
Canada,High Income,0.78,6
Chile,High Income,0.68,12.4
China,Upper Middle Income,0.48,18.8
Colombia,Upper Middle Income,0.50,16.8
Costa Rica,Upper Middle Income,0.68,13.9
Cote d'Ivoire,Lower Middle Income,0.47,24.2
Croatia,High Income,0.60,9.2
Czech Republic,High Income,0.72,6.1
Denmark,High Income,0.87,3.5
Dominican Republic,Upper Middle Income,0.48,29.3
Ecuador,Upper Middle Income,0.47,20.1
Egypt,Lower Middle Income,0.44,12.8
El Salvador,Lower Middle Income,0.51,21.1
Estonia,High Income,0.77,7
Ethiopia,Low Income,0.42,25.3
Finland,High Income,0.85,4.8
France,High Income,0.74,5.1
Georgia,Lower Middle Income,0.65,11.8
Germany,High Income,0.81,4.3
Ghana,Lower Middle Income,0.60,26.2
Greece,High Income,0.60,9.1
Guatemala,Lower Middle Income,0.44,19
Honduras,Lower Middle Income,0.42,17.4
Hungary,Upper Middle Income,0.58,7.7
India,Lower Middle Income,0.51,16.6
Indonesia,Lower Middle Income,0.52,15.3
Iran (Islamic Republic of),Upper Middle Income,0.43,32.1
Italy,High Income,0.64,6.1
Jamaica,Upper Middle Income,0.56,11.5
Japan,High Income,0.78,4.7
Jordan,Upper Middle Income,0.56,26.3
Kazakhstan,Upper Middle Income,0.50,24.2
Kenya,Low Income,0.45,29.1
Kyrgyzstan,Lower Middle Income,0.47,22
Lebanon,Upper Middle Income,0.48,22.6
Liberia,Low Income,0.45,33.7
The former Yugoslav republic of Macedonia,Upper Middle Income,0.55,9.4
Madagascar,Low Income,0.45,28.4
Malawi,Low Income,0.50,35
Malaysia,Upper Middle Income,0.57,24
Mexico,Upper Middle Income,0.47,12.3
Republic of Moldova,Lower Middle Income,0.48,12.5
Mongolia,Lower Middle Income,0.53,21
Morocco,Lower Middle Income,0.52,20.8
Myanmar,Low Income,0.42,20.3
Nepal,Low Income,0.53,17
Netherlands,High Income,0.83,3.4
New Zealand,High Income,0.83,6
Nicaragua,Lower Middle Income,0.43,15.3
Nigeria,Lower Middle Income,0.41,20.5
Norway,High Income,0.87,3.8
Pakistan,Lower Middle Income,0.38,14.2
Panama,Upper Middle Income,0.53,10
Peru,Upper Middle Income,0.50,13.9
Philippines,Lower Middle Income,0.53,10.5
Poland,High Income,0.71,10.3
Portugal,High Income,0.70,7.8
Republic of Korea,High Income,0.79,12
Romania,Upper Middle Income,0.62,8.7
Russian Federation,High Income,0.47,18.9
Senegal,Lower Middle Income,0.57,27.2
Serbia,Upper Middle Income,0.50,7.7
Sierra Leone,Low Income,0.44,27.3
Singapore,High Income,0.81,3.6
Slovenia,High Income,0.66,6.4
South Africa,Upper Middle Income,0.58,25.1
Spain,High Income,0.68,3.7
Sri Lanka,Lower Middle Income,0.51,17.4
Sweden,High Income,0.85,2.8
United Republic of Tanzania,Low Income,0.47,32.9
Thailand,Upper Middle Income,0.52,36.2
Tunisia,Upper Middle Income,0.56,24.4
Turkey,Upper Middle Income,0.46,8.9
Uganda,Low Income,0.41,27.4
United Arab Emirates,High Income,0.67,10.9
United Kingdom of Great Britain and Northern Ireland,High Income,0.78,2.9
United States of America,High Income,0.73,10.6
Uruguay,High Income,0.71,16.6
Uzbekistan,Lower Middle Income,0.46,11.2
Viet Nam,Lower Middle Income,0.50,24.5
Zambia,Lower Middle Income,0.47,24.7
Zimbabwe,Low Income,0.37,28.2
